SAMPLEID,TAXAID,N_TAXA,TYPE,TOLER,NATIVE,TROPHIC,SILT,INDEX_CLASS,SAMP_LENGTH_M,SAMP_WIDTH_M,SAMP_BIOMASS,INDEX_NAME,EXCLUDE,BCG_ATTR,DA_MI2,N_ANOMALIES,FAMILY,GENUS,THERMAL_INDICATOR,ELEVATION_ATTR,GRADIENT_ATTR,WSAREA_ATTR,REPRODUCTION,HABITAT,CONNECTIVITY,SCC,HYBRID
_TEST,NO FISH OBSERVED,0,NOTYPE,NOTYPE,N,NOTYPE,NOTYPE,COASTAL,75,5,0,MBSS_2005_Fish,,,0.02,0,,,,,,,,,,,
TUIZ-537-R-1111,CREEK CHUBSUCKER,9,SUCKER,NOTYPE,N,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,YELLOW BULLHEAD,4,NOTYPE,NOTYPE,N,OM,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,TADPOLE MADTOM,1,MADTOM,NOTYPE,N,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,REDFIN PICKEREL,10,NOTYPE,T,IY,TP,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,PUMPKINSEED,11,SUNFISH,T,IY,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,GOLDEN SHINER,50,OTHRCYPR,T,N,OM,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,EASTERN MOSQUITOFISH,11,NOTYPE,NOTYPE,N,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,GOLDFISH,1,OTHRCYPR,NOTYPE,I,OM,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,BROWN BULLHEAD,16,NOTYPE,T,N,OM,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,BANDED SUNFISH,43,SUNFISH,NOTYPE,N,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,AMERICAN EEL,2,NOTYPE,NOTYPE,N,GE,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,BLUEGILL,11,SUNFISH,T,IC,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TUIZ-537-R-1111,EASTERN MUDMINNOW,51,NOTYPE,T,N,IV,N,COASTAL,75,8.375,2591,MBSS_2005_Fish,,,3.88,0,,,,,,,,,,,
TGMB-434-S-1111,CREEK CHUB,9,OTHRCYPR,T,N,GE,Y,COLD,75,4.05,1505,MBSS_2005_Fish,,,2.21,0,,,,,,,,,,,
TGMB-434-S-1111,BROOK TROUT,37,NOTYPE,I,N,GE,Y,COLD,75,4.05,1505,MBSS_2005_Fish,,,2.21,0,,,,,,,,,,,
TGMB-434-S-1111,BLACKNOSE DACE,130,OTHRCYPR,T,N,OM,N,COLD,75,4.05,1505,MBSS_2005_Fish,,,2.21,0,,,,,,,,,,,
TMDB-336-X-1111,CREEK CHUB,239,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,1.7,1638,MBSS_2005_Fish,,,0.16,0,,,,,,,,,,,
TMDB-336-X-1111,BLUE RIDGE SCULPIN,45,SCULPIN,I,N,IS,Y,EPIEDMONT,75,1.7,1638,MBSS_2005_Fish,,,0.16,0,,,,,,,,,,,
TMDB-336-X-1111,BLACKNOSE DACE,327,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,1.7,1638,MBSS_2005_Fish,,,0.16,0,,,,,,,,,,,
TMDB-434-X-1111,BLUNTNOSE MINNOW,28,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,EASTERN MOSQUITOFISH,26,NOTYPE,NOTYPE,N,IV,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,COMMON SHINER,10,SHINER,I,N,OM,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,BLUE RIDGE SCULPIN,195,SCULPIN,I,N,IS,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
